roaster,cleaned_desc_1,sentiment_scores,compound,compound_scaled_0_1,compound_scaled_1_10
Kakalove Café,exceptionally hightoned delicately fruitcentered intricately balanced mulberry coconut sandalwood dark chocolate lilac aroma cup richly sweet structure balanced juicy acidity delicate plush mouthfilling texture finish gentle reminder everything cup offer particular mulberry coconut lilac,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.8828}",0.8828,0.9414,9.4726
Dragonfly Coffee Roasters,impeccably floral cocoatoned savory throughline chocolate fudge wisteria asian pear hazelnut butter white peppercorn aroma cup richly sweetsavory structure floral acidity velvetysmooth viscous mouthfeel finish center around spicetoned chocolate think dark chocolate peppercorn wisteria,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.4404}",0.4404,0.7202,7.4818
Caffe Luxxe,crisply sweetly bright exquisitely balanced tangerine zest lavender cocoa cedar fresh apricot aroma cup bright delicate juicy structure silkysatiny mouthfeel quietly complex finish fade short apricot lavender revive long,"{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.9153}",0.9153,0.95765,9.61885
CafeTaster,crisply sweettart fruittoned blackberry jam cocoa powder almond narcissus baking spice aroma cup sweetly tart structure bright fruitforward acdity lively satiny mouthfeel finish consolidates note blackberry cocoa,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.836}",0.836,0.9179999999999999,9.261999999999999
GK Coffee,rich complex deeply sweet honey lilac guava frankincense cacao nib aroma cup richly sweettart structure hightoned juicy acidity crisp full satiny mouthfeel richtoned finish sweetly floral invitingly tart,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.9168}",0.9168,0.9583999999999999,9.625599999999999
Mudhouse Coffee Roasters,richly sweetsavory deeply floraltoned honeysuckle bergamot toffee myrrh hint fresh coriander aroma cup balanced structure sweetsavory citrusy acidity plump satiny mouthfeel finish consolidates around note honeysuckle myrrh hint toffee long,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.6369}",0.6369,0.81845,8.366050000000001
Temple Coffee Roasters,subtly sweetly rich deeply savory goji berry cocoa nib myrrh fine musk gardenia aroma cup sweetsavory structure juicy acidity crisp lightly satiny mouthfeel finish resonates perfume cocoa note deep richness long,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.8934}",0.8934,0.9467,9.5203
HWC Roasters,evaluated espresso roastprominent chocolaty richly sweet scorched fir ripe banana baker chocolate wilted narcissus allspice aroma small cup light fluffy mouthfeel finish consolidates chocolate banana smoky undertone three part milk roast integrates nicely deep chocolate sweet fruit savory pungency,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.8957}",0.8957,0.9478500000000001,9.530650000000001
JBC Coffee Roasters,evaluated espresso bright sweetly tart floral nuttoned nougat cherry wisteria almond wood sweet lime aroma small cup nicely syrupy crisp mouthfeel finish simplifies around attractively tart nutty resonance florals tart elegance richtoned nuttiness carry grace delicacy three part milk,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.9638}",0.9638,0.9819,9.8371
JBC Coffee Roasters,richly sweettart hightoned cacao nib pie cherry lilac cedar nougat aroma cup sweettart structure juicy vibrant acidity crisp velvety mouthfeel resonant finish center around note tart stonefruit cacao nib,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.743}",0.743,0.8714999999999999,8.843499999999999
Dante Coffee,evaluated espresso assertively sweet fruity spicy ripe banana baking chocolate allspice lemon drop dried lavender narcissus aroma small cup mouthfeel syrupy though drying finish richtoned though rather drying heavyish long threeparts milk coffee balance nicely hightoned sweetness florals showing pleasing clarity,"{'neg': 0.04, 'neu': 0.669, 'pos': 0.291, 'compound': 0.9201}",0.9201,0.9600500000000001,9.640450000000001
Jackrabbit Java,richtoned chocolaty exquisitely balanced chocolate fudge pink grapefruit zest cherry sandalwood narcissus aroma cup sweetly tart structure bright juicy acidity plush syrupy mouthfeel finish consolidates note chocolate fudge citrustoned sandalwood,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.7184}",0.7184,0.8592,8.7328
Jackrabbit Java,crisply sweet floraltoned orange blossom blackberry cooked taro root cacao nib cedar aroma cup sweetly savory structure gentle rounded acidity full creamy mouthfeel pleasing sweet starchiness akin taro root surface finish integrated rich floral fruit tone,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.9584}",0.9584,0.9792000000000001,9.812800000000001
JBC Coffee Roasters,richly pungently zesty blackberry baker ’ chocolate mixed peppercorn violet lemon zest aroma cup brisk deeply richtoned structure lemon floral inflection full syrupy mouthfeel lemon violet hint cocoa long dry finish,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.5423}",0.5423,0.77115,7.9403500000000005
JBC Coffee Roasters,briskly richly pungent dark chocolate date cherry tomato violet hint herb spice sage cumin cinnamon aroma small cup light silky though gently drying mouthfeel crisp quietly resonant finish distinctively tart floraltoned rich three part milk,"{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.8591}",0.8591,0.92955,9.36595
Paradise Roasters,sweetly pleasingly pungent orange zest cedar baker ’ chocolate fresh date hint sweet flower aroma cup balanced sweettartsavory structure lightly syrupy mouthfeel flavor consolidates around faint orange cocoa rich though drying finish,"{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.9001}",0.9001,0.9500500000000001,9.550450000000001
MJ Bear Coffee,hightoned sweetly tart deeply savory jasmine dark chocolate lemon verbena pink grapefruit zest candycap mushroom aroma cup balanced sweettartsavory structure lyrical syrupysmooth mouthfeel flavorsaturated finish lead citrus note lemon verbena grapefruit short rounding deep chocolate sweet mushroom long,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.7269}",0.7269,0.86345,8.77105
Foggy Hills Coffee Company,sweetly herbaceous spicetoned lemon verbena green grape nutmeg freshcut fir maple syrup aroma cup sweetly tart structure bright citrusy acidity full velvety mouthfeel finish resonant long leading note lemon verbena green grape short modulating freshcut fir long,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.8442}",0.8442,0.9220999999999999,9.2989
SkyTop Coffee,richtoned chocolaty chocolate fudge gently scorched cedar date gardenia molasses aroma cup sweettoned structure gentle rounded acidity full creamy mouthfeel finish consolidates chocolate fudge scorched cedar undertone gardenia,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.7096}",0.7096,0.8548,8.693200000000001
Coffeebar,sweetly fruittoned accessibly fermenty raspberry coulis dark chocolate hop flower wine barrel pink peppercorn aroma cup richly bittersweet structure tangy acidity crisp lightly syrupy mouthfeel resonant finish fruit chocolate enhanced quiet sweet ferment,"{'neg': 0.033, 'neu': 0.738, 'pos': 0.229, 'compound': 0.8271}",0.8271,0.91355,9.22195
Pedestrian Coffee,crisp delicate richly sweet red plum cocoa nib jasmine sandalwood brown sugar aroma cup sweettoned structure vivacious acidity plush syrupy mouthfeel cocoatoned plum hint jasmine animate quiet finish,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.836}",0.836,0.9179999999999999,9.261999999999999
Stereo Coffee Roasters,savorysweet richly aromatic red currant hop flower lime zest dark chocolate cedar aroma cup savorysweet structure hightoned juicy acidity full buttery mouthfeel cocoatoned finish note red currant lime zest short rounding hop flower long,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.4404}",0.4404,0.7202,7.4818
Tehmag Foods Corporation,evaluated espresso chocolaty nutdriven bit smoky dark chocolate almond brittle orchid charred mesquite molasses aroma small cup velvetysmooth mouthfeel smoky chocolaty finish three part milk deeply chocolaty roastprominent inviting note smoky mesquite,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.3744}",0.3744,0.6872,7.1848
Coava Coffee Roasters,deeply sweet nuttoned hazelnut butter baker ’ chocolate magnolia oak forest agave syrup aroma cup sweettoned structure brisk acidity satinysmooth mouthfeel gentle finish consolidates hazelnut chocolate tone hint rich aromatic wood long,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.8858}",0.8858,0.9429000000000001,9.4861
JBC Coffee Roasters,hightoned multilayered intriguingly complex wisteria pineapple myrrh cocoa nib pink grapefruit zest aroma cup richly sweettart structure vibrant juicy acidity crisp yet syrupy mouthfeel resounding flavorladen finish deeply floral richly sweettart,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.8481}",0.8481,0.92405,9.31645
Kakalove Cafe,richly sweet cleanly fruitdriven floraltoned raspberry jam dark chocolate gardenia cedar maple syrup aroma cup sweetly tart structure bright juicy acidity crisp though syrupy mouthfeel resonant finish center around raspberry chocolate hint cedar,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.8979}",0.8979,0.94895,9.54055
Kakalove Cafe,evaluated espresso floraltoned richly sweet honeysuckle cashew oak fig newton pink peppercorn dark chocolate aroma small cup crisp satiny mouthfeel resonant floraltoned finish hint spice note three part milk foreground sweet nut dark chocolate backed sweet spice note suggesting pink peppercorn,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.9001}",0.9001,0.9500500000000001,9.550450000000001
Kakalove Cafe,sweettoned richly nutty cashew butter date baker ’ chocolate magnolia oak aroma cup sweet structure brisk acidity satinysmooth mouthfeel richly drying finish consolidates around note cashew magnolia,"{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.8555}",0.8555,0.9277500000000001,9.34975
Kakalove Cafe,evaluated espresso sweettoned balanced black cherry fir hazelnut baker ’ chocolate gardenia aroma small cup full creamy body gentle chocolaty finish dark chocolate note amplified three part milk note black cherry hazelnut underneath,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.4404}",0.4404,0.7202,7.4818
Durango Coffee Company,delicate richly sweet fruitcentered dried strawberry baker ’ chocolate magnolia freshcut fir maple syrup aroma cup sweettoned structure brisk acidity smooth satiny mouthfeel finish consolidates note dried strawberry freshcut fir crisp chocolate undertone,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.7717}",0.7717,0.88585,8.97265
Simon Hsieh's Aroma Roast Coffees,evaluated espresso rich deeply sweet dark chocolate dried cherry singed cedar lilac candy cap mushroom layered complexity aroma small cup thick syrupy mouthfeel finish consolidates smoky cocoa sweetly savory mushroom three part milk cup chocolaty sweet floral umami throughline,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.9229}",0.9229,0.96145,9.65305
Branch Street Coffee Roasters,vibrant floral richly sweet jasmine white peach almond oak lime zest aroma cup sweetly tart structure juicy bright acidity plush syrupy mouthfeel finish resonates note white peach jasmine undertone oak,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.936}",0.936,0.968,9.712
Bird Rock Coffee Roasters,richtoned deeply chocolaty fruity savory undertone chocolate fudge ripe wild strawberry honey macadamia nut fine roquefort cheese sweetsavory structure enlivened bright juicy acidity full syrupy mouthfeel savorysweet finish note fine roquefort strawberry chocolate fudge,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.6705}",0.6705,0.83525,8.51725
Klatch Coffee,intoxicatingly though cleanly fruittoned raspberry coulis halvah plumeria pink peppercorn lemon verbena aroma cup richly sweettart structure bright hightoned acidity delicate silky smooth mouthfeel finish maintains tartsweetness cup intensifying herby citrus,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.7184}",0.7184,0.8592,8.7328
Collage Coffee,richly spicy musky chocolaty mexican chocolate cocoa nib vanilla cinnamon sugar dried parsley nutmeg musk aroma cup crisp piquant structure light silky mouthfeel impressive finish drying yet quite sweet saturated chocolate cinnamon musk suggestion,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.8588}",0.8588,0.9294,9.3646
Dory Coffee Roasters,intense original sweetspicy walnut gardenia clove sandalwood ripe lemon hint yogurtlike tartness aroma cup balanced sweetly pungent structure clovetoned spice lift invigorates otherwise heavyish finish,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.8316}",0.8316,0.9158,9.2422
Manzanita Roasting Company,intense spicysweet chocolaty mexican chocolate cocoa nib vanilla cinnamon sugar oak orange zest juniper berry light whiff gin aroma cup sweet crisp balanced structure savory bottom light though quite syrupy mouthfeel cinnamon dominates short finish cocoa come forward sweet longlasting finish,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.7579}",0.7579,0.87895,8.91055
Lucky Cafe,bright intensely pungent oddly engaging spearmint blueberry fresh yogurt sweet cocoa musk aroma cup tart bittersweet structure mouthfeel syrupy plush finish consolidates richly around suggestion sweet cocoa fresh yogurt slight suggestion earthy decay,"{'neg': 0.085, 'neu': 0.51, 'pos': 0.405, 'compound': 0.9333}",0.9333,0.96665,9.69985
Small Eyes Cafe,sweet heavy musky perfumy elderflowers fresh cilantro strawberryflavored yogurt lime musk aroma cup intensely sweet structure balanced distinctly crisp bitter edge light satiny mouthfeel flavor consolidates sweet though drying finish,"{'neg': 0.072, 'neu': 0.639, 'pos': 0.289, 'compound': 0.8176}",0.8176,0.9088,9.1792
Coffeebar,richly sweetsavory spice floraltoned black cherry tangerine zest gardenia marjoram hint bay leaf aroma cup structure sweettart juicy savory depth syrupy plush mouthfeel spicy flower lead quietly flavorsaturated finish,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.4404}",0.4404,0.7202,7.4818
Old Soul Co.,richly sweetsavory black tea dried lavender baking chocolate fresh peach fresh sugarcane aroma cup sweettartsavory structure rich vibrant acidity plump syrupy mouthfeel gentle finish center around savory note black tea sugarcane hint lavender,"{'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.9468}",0.9468,0.9734,9.7606
94 Fresh Coffee,sweetly tart lightly fermenty chocolate liqueur lime zest hint peach strawberry mint cedar aroma cup sweet crisply bittertart structure light plushly buoyant mouthfeel drying deep finish pleasing liqueurlike chocolate note persisting,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.886}",0.886,0.9430000000000001,9.487
Hsus Cafe,evaluated espresso richly chocolaty floraltoned chocolate fudge gardenia almond cedar molasses aroma small cup crisp satiny mouthfeel finish consolidates note chocolate fudge gardenia cedar undertone three part milk chocolate gardenia note amplified hint cedar almond well,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.6124}",0.6124,0.8062,8.2558
Lexington Coffee Roasters,roundly bright flower cocoa baking chocolate passionfruit roasted pecan molasses honeysuckle aroma cup delicately intensely sweettart poised structure light silkysupple mouthfeel flavor consolidates sweet though drying finish,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.8473}",0.8473,0.9236500000000001,9.312850000000001
Temple Coffee Roasters,bright richly sweetsavory blackberry jasmine oak cocoa nib pink peppercorn aroma cup sweetly savory structure lively juicy acidity satinysmooth mouthfeel flavorsaturated finish lead blackberry jasmine short pink peppercorn cocoa nib resurface long,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.8957}",0.8957,0.9478500000000001,9.530650000000001
Green Stone Coffee,sweet savory intriguingly deep woodframed pungency scorched sandalwood black peppercorn toffee red currant dried marjoram wisterialike flower aroma cup roastframed deeply rich sweet savory yet crisply juicy structure full syrupy mouthfeel finish consolidates sweet toffee rich sandalwood marjoram long,"{'neg': 0.0, 'neu': 0.669, 'pos': 0.331, 'compound': 0.95}",0.95,0.975,9.775
Paradise Roasters,deeply richly sweet cocoatoned baker ’ chocolate fig cookie agave syrup oak freesialike flower aroma cup richly sweet structure brisk acidity full creamy mouthfeel resonant finish center around baking chocolate freesia,"{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.9318}",0.9318,0.9659,9.6931
Paradise Roasters,richly sweettart citrusy bright lime zest magnolia cedar almond maple syrup aroma cup sweettart structure hightoned vibrant acidity crisp satinysmooth mouthfeel finish consolidates note lime zest magnolia undertone maple syrup,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.8481}",0.8481,0.92405,9.31645
Baba Java Coffee,crisp bright savorysweet cashew brittle lemon blossom tamarind cedar herbed goat cheese aroma cup tartsavory structure brisk acidity lightly satiny mouthfeel finish resonates note citrus sweet nut herb,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.7579}",0.7579,0.87895,8.91055
Campos Coffee,brightly fruittoned tropical aromatically vibrant lychee passionfruit dark chocolate frankincense star jasmine aroma cup deeply sweettart structure hightoned juicy acidity lush syrupy mouthfeel resounding flavorsaturated finish layer layer fruit far long,"{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.7096}",0.7096,0.8548,8.693200000000001
Cafe Grumpy,crisply sweet cocoatoned cocoa powder lime zest almond butter freesialike flower oak aroma cup sweetly tart structure pert acidity satinysmooth mouthfeel quiet finish center around cocoa almond,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.7269}",0.7269,0.86345,8.77105
South Slope Coffee Roasters,richly sweet vibrantly bright pink grapefruit zest cocoa nib apricot hazelnut cedar aroma cup sweettart structure pert acidity delicately silky mouthfeel gentle finish center around note apricot cocoa nib supported rich hazelnut hint cedar,"{'neg': 0.0, 'neu': 0.579, 'pos': 0.421, 'compound': 0.9559}",0.9559,0.97795,9.80155
Souvenir Coffee,crisply sweet cleanly fruittoned dried strawberry cocoa nib honeysuckle agave syrup cedar aroma cup sweetly tart structure crisp applelike acidity satinysmooth mouthfeel quiet finish evokes dried strawberry woodframed honeysuckle,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.7269}",0.7269,0.86345,8.77105
Klatch Coffee,richly cleanly fruittoned chocolaty dried fig chocolate fudge molasses oak narcissuslike flower aroma cup deeply sweettart structure hightoned crisp acidity full creamy mouthfeel resonant flavorsaturated finish center around fig chocolate suggestion,"{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.4404}",0.4404,0.7202,7.4818
Small Eyes Cafe,evaluated espresso bright sweetly tart cleanly fruitforward raspberry chocolate fudge sandalwood narcissus almond butter aroma small cup full syrupy mouthfeel resonant flavorsaturated finish cappuccino scaled milk attractive naturalprocessed coffee read like trifle dessert raspberry dark chocolate,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.886}",0.886,0.9430000000000001,9.487
Klatch Coffee,deeply sweet crisply herbtoned lemon verbena plum baking chocolate hazelnut honeysuckle aroma cup sweetly tart structure brisk acidity full syrupy mouthfeel resonant finish lemon verbena baking chocolate front center,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.7902}",0.7902,0.8951,9.0559
Klatch Coffee,richly sweetsavory vibrant cocoa nib red currant cedar maple syrup magnolialike flower aroma cup sweet savoryedged structure bright acidity crisp yet velvety mouthfeel cocoa dominates finish supported red currant cedar,"{'neg': 0.0, 'neu': 0.605, 'pos': 0.395, 'compound': 0.9287}",0.9287,0.96435,9.67915
Q Burger,crisply sweet nuttoned almond caramel freesia green apple cedar aroma cup sweet structure brisk acidity velvetysmooth mouthfeel finish consolidates almond caramel tone,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7906}",0.7906,0.8953,9.0577
Blues Brew Coffee,richly sweet berrytoned ripe strawberry lilac sandalwood cocao nib hint thyme aroma cup sweettart structure gentle round acidity full syrupy mouthfeel cocoatoned sandalwood characterizes resonant finish,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.8316}",0.8316,0.9158,9.2422
Temple Coffee Roasters,richtoned chocolaty baking chocolate hazelnut plum molasses cedar aroma cup bittersweet structure vibrant juicy acidity delicate silky mouthfeel quiet cocoatoned finish,"{'neg': 0.054, 'neu': 0.753, 'pos': 0.192, 'compound': 0.5106}",0.5106,0.7553000000000001,7.797700000000001
JBC Coffee Roasters,deeply sweet resonantly savory exceptionally vibrant apricot honeysuckle cannabis wild honey freshcut oak aroma cup sweetumami structure crisp bright acidity lively malic acidity balanced finish lead note honeysuckle cannabis undertone wild honey,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.915}",0.915,0.9575,9.6175
JBC Coffee Roasters,richtoned crisply sweet passionfruit agave syrup narcissus dark chocolate sandalwood aroma cup sweetly tart structure bright juicy acidity plush syrupy mouthfeel long flavorsaturated finish center around note passionfruit dark chocolate sandalwood,"{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.8402}",0.8402,0.9200999999999999,9.280899999999999
JBC Coffee Roasters,evaluated espresso richly sweet savory complexity passionfruit dark chocolate coconut pink peppercorn moist pipe tobacco rhododendron aroma small cup light satiny tart mouthfeel crisp finish consolidates note tobacco pink peppercorn three part milk rich savory element resonate attractive earthy nuance,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.9081}",0.9081,0.9540500000000001,9.586450000000001
JBC Coffee Roasters,crisply sweet cocoatoned cocoa powder date hazelnut freesia cedar aroma cup sweet structure gentle round acidity crisp satiny mouthfeel quiet finish note cocoa powder date cedar,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.8519}",0.8519,0.92595,9.33355
Simon Hsieh’s Aroma Roast Coffees,evaluated espresso sweetly tart fruittoned floral pomegranate narcissus sandalwood molasses intriguing hint cayenne aroma small cup plush syrupy mouthfeel resonant flavorsaturated finish three part milk temper round tart fruit note florals remain deep pungent,"{'neg': 0.074, 'neu': 0.844, 'pos': 0.082, 'compound': 0.0772}",0.0772,0.5386,5.8473999999999995
Simon Hsieh’s Aroma Roast Coffees,evaluated espresso attractively roastprominent deeply sweet complex scorched cedar baking chocolate blackberry jam blood orange zest marjoram violetlike flower aroma small cup lightly creamy almost fluffy mouthfeel finish consolidates around herbtoned chocolate enveloped smoky resonance three part milk intensely sweet aromatically vibrant supported rich smoky depth,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.9604}",0.9604,0.9802,9.8218
Simon Hsieh’s Aroma Roast Coffees,evaluated espresso quietly perfumed richly dry tart scorched cedar baking chocolate dried mulberry wisteria almond paste aroma small cup crisp lightly satiny mouthfeel finish sweetly roasttoned redolent aromatic cedar note rich cocoa delicate florals animate roasttoned milk shot,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.8689}",0.8689,0.93445,9.41005
Simon Hsieh’s Aroma Roast Coffees,evaluated espresso charred oak baking chocolate calla lily browned butter black cherry aroma small cup crisp lightly velvety mouthfeel finish consolidates cocoatoned black cherry three part milk calla lilylike flower baking chocolate amplified black cherry note resurface long finish,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.5,5.5
Evie's Cafe,evaluated espresso richly sweet chocolaty floral narcissus dark chocolate cedar black cherry almond paste aroma small cup full syrupy mouthfeel resonant chocolaty finish three part milk chocolate narcissus note bloom almond paste hint cedar balance lyrical sweetness top,"{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.872}",0.872,0.9359999999999999,9.424
4 Plus Coffee,crisply sweet fruittoned raspberry freshcut fir maple syrup cocoa powder freesialike flower aroma cup sweet structure brisk acidity satinysmooth mouthfeel gently drying finish center around quiet note raspberry fir,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.8625}",0.8625,0.93125,9.38125
Willoughby's Coffee & Tea,bizarre beautiful shocking intricate tropical fruit lychee passionfruit sweet herb clove cilantro dill spearmint dark chocolate musk yogurt structure quite sweet roundly tart think unsweetened yogurt deeply savory lightly syrupy mouthfeel passionfruit chocolate dill make distinct appearance drying sweetly richly complex finish,"{'neg': 0.088, 'neu': 0.602, 'pos': 0.31, 'compound': 0.91}",0.91,0.9550000000000001,9.595
Black & White Coffee Roasters,crisply sweet richly tartsavory dried apricot marjoram wild honey oak narcissus aroma cup balanced sweettart structure vibrant juicy acidity satinysmooth mouthfeel finish consolidates dried apricot marjoram undertone honey,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.8519}",0.8519,0.92595,9.33355
Quartet Kaffe,deeply richly sweet resonantly juicy red currant lavender dark chocolate sandalwood fine musk aroma cup sweetsavory structure vibrant lively acidity plush syrupy mouthfeel aromatics poised structure carry far finish finesse persistence,"{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.939}",0.939,0.9695,9.7255
Amavida Coffee Roasters,hightoned sweetly tart maple syrup almond butter dried apricot cocoa nib baking spice aroma cup sweettart structure pert acidity velvetysmooth mouthfeel flavorsaturated finish center maple syrup dried apricot short cocoatoned almond butter long hint baking spice,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.4767}",0.4767,0.7383500000000001,7.645150000000001
Big Shoulders Coffee,richtoned sweetly savory vibrant cocoa nib black currant myrrh apricot hop flower aroma cup sweet savoryedged structure brisk acidity plush syrupy mouthfeel resonant finish center around apricot hop flower short cocoa nib myrrh long,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.8779}",0.8779,0.93895,9.45055
Quartet Kaffe,delicate berrytoned richly sweet raspberry honey narcissuslike flower cedar almond butter aroma cup sweetly tart structure juicy hightoned acidity lively full mouthfeel resonant flavorsaturated finish consolidates note raspberry almond supported sweet floral hint,"{'neg': 0.0, 'neu': 0.586, 'pos': 0.414, 'compound': 0.9468}",0.9468,0.9734,9.7606
Amavida Coffee Roasters,richly sweet deeply savory red currant hop flower freshcut cedar tamarind spearmint aroma cup bright sweetsavory structure lively acidity full velvety mouthfeel short finish flavorsaturated consolidating long note red currant spearmint,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.8934}",0.8934,0.9467,9.5203
Big Shoulders Coffee,deeply sweet richly nuttoned hazelnut butter magnolialike flower crisp pear cedar agave syrup aroma cup sweet structure gentle round acidity syrupysmooth mouthfeel finish consolidates deep nut rich aromatic wood,"{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.9457}",0.9457,0.97285,9.75565
MK Coffee Roasters,delicately sweet brighttoned lemon zest rhododendron baking chocolate freshcut fir molasses aroma cup gentle lively acidity light satiny mouthfeel lemon zest chocolate carry sweet gently drying finish,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.9413}",0.9413,0.97065,9.73585
Big Shoulders Coffee,sweetly tart hightoned lime zest almond cherry cedar apple blossom aroma cup sweettart structure pert acidity full satiny mouthfeel finish crisp citrusy redolent lime zest,"{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.4767}",0.4767,0.7383500000000001,7.645150000000001
Wheelys Cafe Taiwan,evaluated espresso richly chocolaty floraltoned chocolate fudge gardenia lightly singed fir cashew date aroma small cup velvetysmooth mouthfeel gently drying chocolaty woodframed finish gardenia chocolate fudge amplified three part milk wood note recede,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.7096}",0.7096,0.8548,8.693200000000001
Klatch Coffee,delicate sweettoned apricot freshcut fir magnolia hazelnut cocoa powder aroma cup sweet structure lively acidity velvety mouthfeel finish richly drying note hazelnut fir cocoa powder,"{'neg': 0.0, 'neu': 0.677, 'pos': 0.323, 'compound': 0.8402}",0.8402,0.9200999999999999,9.280899999999999
Chez Cafe,crisply sweet citrus cocoatoned cocoo nib pink grapefruit zest cedar narcissus plum aroma cup sweettart structure hightoned lively acidity full satiny mouthfeel finish consolidates note citrustoned cocoa narcissus,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.7096}",0.7096,0.8548,8.693200000000001
