name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1,cleaned_desc_1,sentiment_score,label,roberta_sentiment_score,predicted_labels
Choice Caramel Dried Prune,Creation Food Co.,Medium_Light,Taiwan,Colombia,Ethiopia,6.02,91,2018-07-01,"Evaluated as espresso. Richly sweet, caramelly. Orange zest, dark caramel, fir, raisin, freesia in aroma and small cup. Full, satiny mouthfeel; wood-framed, caramel- and fruit-toned finish. In three parts milk, raisin and caramel notes are foregrounded, with spice-toned, freesia-like flowers underneath.",evaluated espresso richly sweet caramelly orange zest dark caramel fir raisin freesia aroma small cup full satiny mouthfeel woodframed caramel fruittoned finish three part milk raisin caramel note foregrounded spicetoned freesialike flower underneath,0.743,1,0.9424806,1
Espresso Blend,Pop Coffee Works,Medium_Light,Canada,Brazil,Peru,4.5,92,2018-07-01,"Evaluated as espresso. Crisply sweet, lively, chocolate-toned. Dark chocolate, peach, blood orange zest, wisteria, almond brittle in aroma and small cup. Crisp, satiny mouthfeel; gently drying, chocolaty finish. In three parts milk, notes of wisteria and peach are elevated, with almond brittle resurfacing in the long. ",evaluated espresso crisply sweet lively chocolatetoned dark chocolate peach blood orange zest wisteria almond brittle aroma small cup crisp satiny mouthfeel gently drying chocolaty finish three part milk note wisteria peach elevated almond brittle resurfacing long,0.836,1,0.94253993,1
Cold Brew,Barefoot Coffee Roasters,Medium_Light,United States,Guatemala,Not Disclosed,0.12,90,2018-07-01,"A ready-to-drink bottled black coffee tested over ice. Crisp, rich, caramel-toned. Caramel, lemon zest, date, hazelnut, oak. Balanced structure with briskly sweet acidity; feathery-smooth mouthfeel. The finish is deeply sweet, richly caramelly, with hints of lemon zest and hazelnut. The addition of whole milk elevates caramel, already front and center, to dessert-like dominance.",readytodrink bottled black coffee tested ice crisp rich carameltoned caramel lemon zest date hazelnut oak balanced structure briskly sweet acidity featherysmooth mouthfeel finish deeply sweet richly caramelly hint lemon zest hazelnut addition whole milk elevates caramel already front center dessertlike dominance,0.9271,1,0.942507,1
Brazil Fazenda Sertãozinho,Auto Coffee,Medium,Taiwan,São Sebastião Da Grama,São Paulo State,4.25,91,2018-08-01,"Evaluated as espresso. Crisply sweet, spice-toned. Roasted cashew, gardenia, apricot, cardamom, baker’s chocolate in aroma and small cup. Satiny mouthfeel; richly layered finish with notes of chocolate and faintly smoky aromatic wood. Crisply and persuasively chocolaty in three parts milk.",evaluated espresso crisply sweet spicetoned roasted cashew gardenia apricot cardamom baker ’ chocolate aroma small cup satiny mouthfeel richly layered finish note chocolate faintly smoky aromatic wood crisply persuasively chocolaty three part milk,0.7096,1,0.942517,1
Natural Sidamo Twakok G1,Kakalove Cafe,Light,Taiwan,Sidamo (Also Sidama) Growing Region,South-Central Ethiopia,3.68,94,2018-08-01,"Evaluated as espresso. Richly floral, spice-toned. Lavender, baker’s chocolate, dried strawberry, sandalwood, lemon zest in aroma and small cup. Full, syrupy mouthfeel; dry, fruit-toned finish with hints of sandalwood. In three parts milk, chocolate notes turn toward sweet caramel and the spicy floral and dried berry notes amplify. ",evaluated espresso richly floral spicetoned lavender baker ’ chocolate dried strawberry sandalwood lemon zest aroma small cup full syrupy mouthfeel dry fruittoned finish hint sandalwood three part milk chocolate note turn toward sweet caramel spicy floral dried berry note amplify,0.7096,1,0.94252574,1
Costa Rica Cumbres Del Poas “Perla Negra” Natural,Magnolia Coffee,Medium_Light,United States,Sabanilla De Alajuela Growing Region,Costa Rica,5.29,94,2018-08-01,"Evaluated as espresso. Bright, richly sweet, fruit- and cocoa-toned. Pomegranate, dark chocolate, narcissus, hazelnut, vanilla in aroma and small cup. Plush, creamy mouthfeel; sweetly tart finish with notes of pomegranate and hazelnut. Resonant and flavor-saturated in three parts milk; chocolate and tart fruit lead, with narcissus-like flowers ringing into the long finish.",evaluated espresso bright richly sweet fruit cocoatoned pomegranate dark chocolate narcissus hazelnut vanilla aroma small cup plush creamy mouthfeel sweetly tart finish note pomegranate hazelnut resonant flavorsaturated three part milk chocolate tart fruit lead narcissuslike flower ringing long finish,0.8979,1,0.9425412,1
Ethiospro Blend,Revel Coffee,Medium_Light,United States,Ethiopia,Sabanilla De Alajuela Growing Region,5.22,94,2018-08-01,"Evaluated as espresso. Bright, floral, spice-toned. Spearmint, black cherry, cedar, tangerine zest, plumeria-like flowers in aroma and small cup. Plush and buttery in mouthfeel. Flavor consolidates to cocoa-toned citrus in a resonant finish. In three parts milk, an elegant cocoa surfaces, with supporting notes of sweet flowers and a hint of pungent cedar.",evaluated espresso bright floral spicetoned spearmint black cherry cedar tangerine zest plumerialike flower aroma small cup plush buttery mouthfeel flavor consolidates cocoatoned citrus resonant finish three part milk elegant cocoa surface supporting note sweet flower hint pungent cedar,0.8979,1,0.9425266,1
Ethiopia Gede Natural,Wonderstate Coffee,Medium_Light,United States,Shakiso District,Guji Zone,5.29,93,2018-08-01,"Evaluated as espresso. Delicate, lively, chocolate-toned. Dark chocolate, macadamia nut, date, cedar, honeysuckle in aroma and small cup. Crisp, velvety mouthfeel; clean, richly drying finish with notes of date and cedar. Balanced in three parts milk, with notes of dark chocolate supported by rich aromatic wood.",evaluated espresso delicate lively chocolatetoned dark chocolate macadamia nut date cedar honeysuckle aroma small cup crisp velvety mouthfeel clean richly drying finish note date cedar balanced three part milk note dark chocolate supported rich aromatic wood,0.9274,1,0.94253695,1
Gesha Village Lot #25,Small Eyes Cafe,Medium_Light,Taiwan,Guji Zone,Oromia Region,21.24,95,2018-08-01,"Evaluated as espresso. Rose-like flowers, chocolate fudge, cannabis flower, black cherry, fresh-cut cedar in aroma and small cup. Syrupy, vibrant mouthfeel; richly drying, sweet-savory finish. This coffee levitates in three parts milk, with rich notes of rose-like flowers ensconced in deep chocolate and a cannabis-like muskiness.",evaluated espresso roselike flower chocolate fudge cannabis flower black cherry freshcut cedar aroma small cup syrupy vibrant mouthfeel richly drying sweetsavory finish coffee levitates three part milk rich note roselike flower ensconced deep chocolate cannabislike muskiness,0.872,1,0.94251513,1
YCFCU Banko Gotiti Coop G1,Taokas Coffee,Medium_Dark,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,6.02,95,2018-08-01,"Evaluated as espresso. Lush, complex, richly sweet-savory. Peach, fine musk, cocoa powder, freesia-like flowers, pungent frankincense in aroma and small cup. Plump, syrupy mouthfeel; clean, crisp, cocoa-toned finish. The cocoa notes from the small cup bloom into dark chocolate in cappuccino-scaled milk, nicely complicated by flowers and frankincense.",evaluated espresso lush complex richly sweetsavory peach fine musk cocoa powder freesialike flower pungent frankincense aroma small cup plump syrupy mouthfeel clean crisp cocoatoned finish cocoa note small cup bloom dark chocolate cappuccinoscaled milk nicely complicated flower frankincense,0.8519,1,0.9425314,1
Yemen Haraaz,Dragonfly Coffee Roasters,Medium_Light,United States,Central Yemen,Yirgacheffe Growing Region,10.29,94,2018-08-01,"Evaluated as espresso. Apricot, lychee, sandalwood, cashew butter, honeysuckle in aroma and small cup. Creamy-smooth mouthfeel; rich finish that surfaces herb notes suggesting marjoram, along with lychee and apricot. In three parts milk, this coffee is fruit-driven, its tartness tempered by honeysuckle and sandalwood notes.",evaluated espresso apricot lychee sandalwood cashew butter honeysuckle aroma small cup creamysmooth mouthfeel rich finish surface herb note suggesting marjoram along lychee apricot three part milk coffee fruitdriven tartness tempered honeysuckle sandalwood note,0.5574,1,0.9425315,1
Costa Rica Perla Negra,Durango Coffee Company,Medium,United States,Sabanilla De Alajuela Growing Region,Costa Rica,4.98,95,2018-08-01,"Evaluated as espresso. Deeply rich, crisply sweet, fruit- and chocolate-toned. Dried mango, chocolate fudge, narcissus-like flowers, roasted almond, fresh-cut cedar in aroma and small cup. Lively, silky smooth mouthfeel; resonant, flavor-saturated finish. The chocolate-forward presentation in three parts milk is nuanced by notes of mango and fresh-cut cedar.",evaluated espresso deeply rich crisply sweet fruit chocolatetoned dried mango chocolate fudge narcissuslike flower roasted almond freshcut cedar aroma small cup lively silky smooth mouthfeel resonant flavorsaturated finish chocolateforward presentation three part milk nuanced note mango freshcut cedar,0.8766,1,0.9425285,1
Espresso 1849 Blend,States Coffee & Mercantile,Medium,United States,Guatemala,Ethiopia,5.29,94,2018-08-01,"Evaluated as espresso. Vibrant and engaging; richly sweet-tart. Pomegranate, dark chocolate, blood orange zest, narcissus, sandalwood in aroma and small cup. Plush, syrupy mouthfeel; crisp, resonant finish. In three parts milk, both chocolate and floral tones bloom, supported by hints of spicy citrus zest and aromatic wood notes.",evaluated espresso vibrant engaging richly sweettart pomegranate dark chocolate blood orange zest narcissus sandalwood aroma small cup plush syrupy mouthfeel crisp resonant finish three part milk chocolate floral tone bloom supported hint spicy citrus zest aromatic wood note,0.875,1,0.9425283,1
Ethiopia Deri Kochoha,States Coffee & Mercantile,Medium_Light,United States,West Guji Zone,Oromia Region,5.29,93,2018-08-01,"Sweetly and gently tart. Lavender, brown sugar, lemon zest, honeydew melon, fresh pipe tobacco in aroma and cup. Delicately sweet-tart and juicy in structure; lightly syrupy in mouthfeel. Flavor consolidates but rings on in a resonant finish.",sweetly gently tart lavender brown sugar lemon zest honeydew melon fresh pipe tobacco aroma cup delicately sweettart juicy structure lightly syrupy mouthfeel flavor consolidates ring resonant finish,0.8555,1,0.9425264,1
Guatemala Finca Las Terrazas,States Coffee & Mercantile,Medium_Light,United States,Huehuetenango Department,Guatemala,5.29,93,2018-08-01,"Sweet yet zesty, vivacious. Honey, peach, ripe lime zest, black tea, a hint of parsley in aroma and cup. Sweetly brisk, lively in structure; light but satiny mouthfeel. Flavor consolidates around floral honey and peach in a crisply sweet-toned finish.",sweet yet zesty vivacious honey peach ripe lime zest black tea hint parsley aroma cup sweetly brisk lively structure light satiny mouthfeel flavor consolidates around floral honey peach crisply sweettoned finish,0.9081,1,0.94252735,1
Suyusama Program Colombia,Bird Rock Coffee Roasters,Medium_Light,United States,Nariño Department,Southwestern Colombianar,5.58,93,2018-08-01,"Crisp, deeply resonant, classic. Dried rose and lavender, cherry, roasted pistachio, a hint of marjoram in aroma and cup. The structure is sweet-tart with a savory bottom; syrupy and full in mouthfeel. Pistachio and flowers carry into a long, deep, perfumy finish.",crisp deeply resonant classic dried rose lavender cherry roasted pistachio hint marjoram aroma cup structure sweettart savory bottom syrupy full mouthfeel pistachio flower carry long deep perfumy finish,0.0,0,0.9425066,1
Static Peru Valle de Chingama Peru,Espresso Republic,Medium_Light,United States,Cajamarca Region,Northern Peru,4.1,92,2018-08-01,"Deeply pungent and richly sweet. Lavender, baker’s chocolate, oak, ripe fig, a hint of ginger in aroma and cup. Roundly sweet-tart and juicy in structure; full and satiny in mouthfeel. Baker’s chocolate carries distinctly and pleasingly into an otherwise short finish.  ",deeply pungent richly sweet lavender baker ’ chocolate oak ripe fig hint ginger aroma cup roundly sweettart juicy structure full satiny mouthfeel baker ’ chocolate carry distinctly pleasingly otherwise short finish,0.7537,1,0.9424801,1
Static Chirinos Peru,Espresso Republic,Medium_Light,United States,Cajamarca Region,Northern Peru,4.1,90,2018-08-01,"Richly low-toned, gently zesty. Cedar, baker’s chocolate, grapefruit zest, apple, a hint of magnolia-like flowers in aroma and cup. Sweetly and quietly tart in structure, with a brisk edge. Plump mouthfeel. Flavor consolidates in a sweet, though rather drying, finish.",richly lowtoned gently zesty cedar baker ’ chocolate grapefruit zest apple hint magnolialike flower aroma cup sweetly quietly tart structure brisk edge plump mouthfeel flavor consolidates sweet though rather drying finish,0.9118,1,0.9425186,1
Kenya Muranga Gondo,Temple Coffee and Tea,Medium_Light,United States,Murang'A County,Central Kenya,6.17,93,2018-08-01,"Spice-toned, richly sweet, deeply savory. White peach, fine musk, freesia, almond, myrrh in aroma and cup. Delicate, sweet-savory structure, with bright, juicy acidity. The resonant, richly drying finish leads with white peach and musk in the short, rounding to notes of sweet almond with a hint of myrrh in the long.",spicetoned richly sweet deeply savory white peach fine musk freesia almond myrrh aroma cup delicate sweetsavory structure bright juicy acidity resonant richly drying finish lead white peach musk short rounding note sweet almond hint myrrh long,0.9442,1,0.9425186,1
Costa Rica Esteban Zamora,Temple Coffee and Tea,Medium_Light,United States,Tarrazu Growing Region,Costa Rica,6.03,91,2018-08-01,"Balanced, richly sweet-savory. Lemon verbena, roasted cacao nib, date, honeysuckle, cinnamon in aroma and cup. Crisply sweet in structure, with brisk acidity; velvety mouthfeel. The sweetly herbaceous finish consolidates to notes of lemon verbena and cocoa-toned cinnamon. ",balanced richly sweetsavory lemon verbena roasted cacao nib date honeysuckle cinnamon aroma cup crisply sweet structure brisk acidity velvety mouthfeel sweetly herbaceous finish consolidates note lemon verbena cocoatoned cinnamon,0.8625,1,0.9425313,1
Kenya,Evie's Cafe,Medium,Taiwan,Nyeri Growing Region,South-Central Kenya,5.64,92,2018-08-01,"Sweetly savory, chocolate-toned. Baker’s chocolate, singed cedar, gardenia, plum, molasses in aroma and cup. Crisply sweet-savory structure; delicate, satiny mouthfeel. The richly drying finish centers around baker’s chocolate and pleasantly smoky aromatic wood notes.",sweetly savory chocolatetoned baker ’ chocolate singed cedar gardenia plum molasses aroma cup crisply sweetsavory structure delicate satiny mouthfeel richly drying finish center around baker ’ chocolate pleasantly smoky aromatic wood note,0.8519,1,0.9424907,1
Finca El Socorro Maracaturra,PT's Coffee Roasting Co.,Medium_Light,United States,Palencia,Fraijanes Plateau Growing Region,6.61,95,2018-09-01,"Richly sweet, balanced, intricately layered. Frankincense, almond nougat, honeysuckle, dried black cherry, roasted cacao nib in aroma and cup. Balanced, sweet-savory structure with juicy acidity; plush, syrupy mouthfeel. The resonant, cocoa-toned finish is supported by notes of dried black cherry and honeysuckle.",richly sweet balanced intricately layered frankincense almond nougat honeysuckle dried black cherry roasted cacao nib aroma cup balanced sweetsavory structure juicy acidity plush syrupy mouthfeel resonant cocoatoned finish supported note dried black cherry honeysuckle,0.802,1,0.94253266,1
Ethiopia Kochere Debo Washed Gellana,Kakalove Cafe,Medium_Light,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,3.89,94,2018-09-01,"Delicately rich, crisply sweet. Star jasmine, lemon zest, peach, sandalwood, almond in aroma and cup. Roundly and sweetly tart in structure; lightly silky in mouthfeel. Lemon, peach and sandalwood in particular carry into a long finish, deeply layered finish. ",delicately rich crisply sweet star jasmine lemon zest peach sandalwood almond aroma cup roundly sweetly tart structure lightly silky mouthfeel lemon peach sandalwood particular carry long finish deeply layered finish,0.8934,1,0.94251275,1
Guatemala Huehuetenango Miralvalle Washed,Crown & Fancy,Medium,Taiwan,Huehuetenango Growing Region,Guatemala,5.36,92,2018-08-01,"Crisp, sweetly pungent, deep. Dark chocolate, apricot, fresh-cut cedar, narcissus-like flowers, hazelnut in aroma and cup. Brisk but sweet in structure; delicate, silky mouthfeel. Long, flavor-saturated finish consolidates around apricot and flowers. ",crisp sweetly pungent deep dark chocolate apricot freshcut cedar narcissuslike flower hazelnut aroma cup brisk sweet structure delicate silky mouthfeel long flavorsaturated finish consolidates around apricot flower,0.7845,1,0.94248927,1
Ethiopia Gotiti Natural,Green Stone Coffee,Medium,Taiwan,Yirgacheffe Growing Region,Southern Ethiopia,8.21,95,2018-08-01,"Richly floral- and berry-toned, impeccably balanced. Violet, blackberry, honey, clove, salted chocolate in aroma and cup. Sweet-tart structure with rounded, lively acidity; plush, syrupy mouthfeel. The finish leads with notes of violet and blackberry in the short, modulating to salted chocolate in the long.",richly floral berrytoned impeccably balanced violet blackberry honey clove salted chocolate aroma cup sweettart structure rounded lively acidity plush syrupy mouthfeel finish lead note violet blackberry short modulating salted chocolate long,0.7003,1,0.9425149,1
Ethiopia Kayon Mountain Natural,Lexington Coffee Roasters,Medium_Light,United States,Odo Shakiso District,Guji Zone,5.57,93,2018-08-01,"Richly sweet, floral-toned. Narcissus-like flowers, almond, maple syrup, apricot, myrrh in aroma and cup. Sweetly tart in structure, with bright, juicy acidity; delicate, silky mouthfeel. The richly drying finish is resonant with notes of amond and myrrh.",richly sweet floraltoned narcissuslike flower almond maple syrup apricot myrrh aroma cup sweetly tart structure bright juicy acidity delicate silky mouthfeel richly drying finish resonant note amond myrrh,0.9325,1,0.9424826,1
Colombia Jairo Alcaraz,Temple Coffee and Tea,Medium,United States,Antoquia,Colombia,5.29,92,2018-08-01,"Sweetly spice-toned. Mexican chocolate (chocolate and cinnamon), roasted almond, magnolia-like flowers, gently scorched oak, dried plum in aroma and cup. Sweet-savory structure with gentle, rounded acidity; lightly syrupy mouthfeel. The richly drying finish consolidates to notes of Mexican chocolate and magnolia, with suggestions of smoky aromatic wood.",sweetly spicetoned mexican chocolate chocolate cinnamon roasted almond magnolialike flower gently scorched oak dried plum aroma cup sweetsavory structure gentle rounded acidity lightly syrupy mouthfeel richly drying finish consolidates note mexican chocolate magnolia suggestion smoky aromatic wood,0.8979,1,0.9425033,1
Cream Tabby Espresso Blend,MoonMoon Coffee,Medium_Light,Taiwan,Ethiopia,Kenya,5.69,94,2018-08-01,"Evaluated as espresso. Sweetly and deeply tart, floral and chocolaty. Passion fruit, dark chocolate, cedar, lilac, myrrh in aroma and small cup. Syrupy though rather dry in the mouthfeel; richly tart in the finish. Remains bright in three parts milk: chocolate, cedar and flowers.",evaluated espresso sweetly deeply tart floral chocolaty passion fruit dark chocolate cedar lilac myrrh aroma small cup syrupy though rather dry mouthfeel richly tart finish remains bright three part milk chocolate cedar flower,0.8979,1,0.9425012,1
Esmeralda Estate Panama Geisha,Difference Coffee,Medium_Light,England,Boquete Growing Region,Western Panama,111.11,94,2018-08-01,"Evaluated as espresso produced as a ristretto 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Sweetly bright, intricate, original. Peach, sandalwood, lemon tart, baker’s chocolate, rhododendron-like flowers in aroma and small cup. Delicately plump in mouthfeel; long, resonant, peach- and lemon-saturated finish. Remains crisply tart in three parts milk, with flavor consolidating around a subtle, elegant dry chocolate.  ",evaluated espresso produced ristretto 25ml 85ounce shot using nespresso capsule espresso brewer whole milk heated using conventional steam wand sweetly bright intricate original peach sandalwood lemon tart baker ’ chocolate rhododendronlike flower aroma small cup delicately plump mouthfeel long resonant peach lemonsaturated finish remains crisply tart three part milk flavor consolidating around subtle elegant dry chocolate,0.9186,1,0.9425239,1
Ethiopia Girma Eshetu,Propeller Coffee,Medium_Light,Canada,Bita Genet District,Keffa Zone,4.65,94,2018-08-01,"Delicate, richly aromatic, sweetly tart. Lavender, strawberry, roasted cacao nib, lemon zest, sandalwood in aroma and cup. Balanced, sweetly tart in structure with bright, vibrant acidity; silky-smooth mouthfeel. The crisp, cocoa-toned finish is redolent of lavender and strawberry in the short, lemon zest and sandalwood in the long, all supported by cocoa tones throughout. ",delicate richly aromatic sweetly tart lavender strawberry roasted cacao nib lemon zest sandalwood aroma cup balanced sweetly tart structure bright vibrant acidity silkysmooth mouthfeel crisp cocoatoned finish redolent lavender strawberry short lemon zest sandalwood long supported cocoa tone throughout,0.9509,1,0.94252646,1
Organic Dulce de Guatemala,Paradise Roasters,Medium_Light,United States,Huehuetenango Growing Region,Guatemala,3.51,93,2018-08-01,"Spice-toned, richly sweet. Honeysuckle, pistachio, baking spices, apricot, molasses in aroma and cup. Sweet-savory in structure with balanced, lively acidity; plump, syrupy mouthfeel. The resonant finish leads with notes of apricot and honeysuckle in the short, rounding to spice-toned pistachio in the long.",spicetoned richly sweet honeysuckle pistachio baking spice apricot molasses aroma cup sweetsavory structure balanced lively acidity plump syrupy mouthfeel resonant finish lead note apricot honeysuckle short rounding spicetoned pistachio long,0.8316,1,0.9425269,1
Karimikui Espresso,JBC Coffee Roasters,Medium_Light,United States,Kirinyaga District,South-Central Kenya,5.73,94,2018-08-01,"Evaluated as espresso. Crisply sweet, richly floral-toned. Lavender, dark chocolate, red currant, almond butter, pink grapefruit zest in aroma and small cup. Delicate, viscous mouthfeel; richly drying finish centers around notes of tart fruit, dark chocolate and bittersweet, lavender-like flowers. Chocolaty and floral in three parts milk, with ongoing tart-fruit notes as well.",evaluated espresso crisply sweet richly floraltoned lavender dark chocolate red currant almond butter pink grapefruit zest aroma small cup delicate viscous mouthfeel richly drying finish center around note tart fruit dark chocolate bittersweet lavenderlike flower chocolaty floral three part milk ongoing tartfruit note well,0.8689,1,0.942544,1
Colombia Finca La Ilusion Rosevel Ortiz Escarpeta Natural Espresso,Soul Work Coffee,Medium_Light,United States,San Agustín Growing Region,Huila Department,7.05,92,2018-08-01,"Evaluated as espresso. Richly fruit-toned, balanced. Blackberry, baker's chocolate, hazelnut butter, honey, oak in aroma and small cup. Satiny-smooth mouthfeel; crisp, resonant finish. In cappuccino-scaled milk, chocolate tones are foregrounded, supported by berry and hazelnut.",evaluated espresso richly fruittoned balanced blackberry baker chocolate hazelnut butter honey oak aroma small cup satinysmooth mouthfeel crisp resonant finish cappuccinoscaled milk chocolate tone foregrounded supported berry hazelnut,0.6369,1,0.9425169,1
Guatemala Finca El Limonar Hugo Chavez Mendez,Soul Work Coffee,Medium_Light,United States,Huehuetenango Growing Region,Guatemala,5.88,92,2018-08-01,"Crisp, delicate, sweetly herbaceous. Roasted cacao nib, lemon verbena, almond brittle, date, freesia-like flowers in aroma and cup. Sweetly tart structure with bright, citrusy acidity; delicate, silky mouthfeel. The resonant finish is crisply sweet and richly drying, with notes of lemon verbena and cocoa nib.",crisp delicate sweetly herbaceous roasted cacao nib lemon verbena almond brittle date freesialike flower aroma cup sweetly tart structure bright citrusy acidity delicate silky mouthfeel resonant finish crisply sweet richly drying note lemon verbena cocoa nib,0.9371,1,0.9425402,1
Colombia Finca La Loma Antonio Gualguan,Soul Work Coffee,Medium_Light,United States,Nariño Department,Colombia,5.88,91,2018-08-01,"Balanced, richly sweet. Black cherry, molasses, cedar, baker's chocolate, lily-like flowers in aroma and cup. Sweetly tart structure with brisk acidity; crisp, velvety mouthfeel. Notes of baker's chocolate and molasses frame the short finish, while cedar and lily re-emerge in the gently drying long.",balanced richly sweet black cherry molasses cedar baker chocolate lilylike flower aroma cup sweetly tart structure brisk acidity crisp velvety mouthfeel note baker chocolate molasses frame short finish cedar lily reemerge gently drying long,0.9118,1,0.942526,1
Granja La Esperanza Tres Dragones Natural,PT's Coffee Roasting,Medium_Light,United States,Valle Del Cauca Growing Region,Colombia,6.91,93,2018-08-01,"Evaluated as espresso. Fruit-toned, chocolaty. Black cherry, brandy, dark chocolate, sandalwood, lavender in aroma and small cup. Crisp, silky mouthfeel; spice-toned finish, redolent of sandalwood. A hint of sweet, brandy-like ferment lingers in three parts milk, supported by deep chocolate notes and spicy aromatic wood.",evaluated espresso fruittoned chocolaty black cherry brandy dark chocolate sandalwood lavender aroma small cup crisp silky mouthfeel spicetoned finish redolent sandalwood hint sweet brandylike ferment lingers three part milk supported deep chocolate note spicy aromatic wood,0.6486,1,0.94253874,1
Costa Rica Tirra Natural,Argyle Coffee Roasters,Medium_Light,United States,Tarrazu Growing Region,Costa Rica,5.29,92,2018-08-01,"Evaluated as espresso. Fruit-toned, crisply sweet-tart. Ripe strawberry, dark chocolate, pink grapefruit zest, salted caramel, a hint of grapey spirits (think grappa barrel) in aroma and small cup. Velvety-smooth mouthfeel; resonant, long, fruit-toned finish with a continued  suggestion of grappa barrel. In three parts milk, richly sweet with notes of salted caramel and dark chocolate and a hint of berryish fruit.",evaluated espresso fruittoned crisply sweettart ripe strawberry dark chocolate pink grapefruit zest salted caramel hint grapey spirit think grappa barrel aroma small cup velvetysmooth mouthfeel resonant long fruittoned finish continued suggestion grappa barrel three part milk richly sweet note salted caramel dark chocolate hint berryish fruit,0.765,1,0.9425354,1
Gatugi Triple,Barrington Coffee Roasting,Light,United States,Nyeri Growing Region,South-Central Kenya,11.76,95,2018-09-01,"Bright, crisply sweet-savory. Black currant, honeysuckle, ripe tomato, spearmint, cedar in aroma and cup. Equal parts sweet, savory and tart in structure with lively acidity; plush, syrupy mouthfeel. Notes of black currant and honeysuckle carry the resonant, flavor-saturated finish.",bright crisply sweetsavory black currant honeysuckle ripe tomato spearmint cedar aroma cup equal part sweet savory tart structure lively acidity plush syrupy mouthfeel note black currant honeysuckle carry resonant flavorsaturated finish,0.8316,1,0.94251364,1
Sulawesi Toarco,Barrington Coffee Roasting,Medium_Light,United States,Toraja Growing Region,South-Central Sulawesi,11.76,92,2018-09-01,"Sweet-toned, richly savory. Baker’s chocolate, hazelnut butter, narcissus, date, fresh-cut fir in aroma and cup. Sweet-savory structure with rounded, gentle acidity; satiny-smooth mouthfeel. The finish consolidates to baker’s chocolate and aromatic wood notes, with a hint of narcissus-like flowers. ",sweettoned richly savory baker ’ chocolate hazelnut butter narcissus date freshcut fir aroma cup sweetsavory structure rounded gentle acidity satinysmooth mouthfeel finish consolidates baker ’ chocolate aromatic wood note hint narcissuslike flower,0.7003,1,0.94247156,1
Ethiopia Yirgacheffe Natural Espresso,Dragonfly Coffee Roasters,Medium_Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.29,94,2018-09-01,"Evaluated as espresso. Elegantly fruit-toned and floral. Dried apricot, lychee, sandalwood, cashew butter, honeysuckle in aroma and small cup. Plush, creamy mouthfeel; rich, resonant finish driven predominantly by notes of dried apricot and sandalwood. In three parts milk, an intriguing marjoram-like note surfaces, along with notes of deep fruit, aromatic wood, and a distinct sweet floral.",evaluated espresso elegantly fruittoned floral dried apricot lychee sandalwood cashew butter honeysuckle aroma small cup plush creamy mouthfeel rich resonant finish driven predominantly note dried apricot sandalwood three part milk intriguing marjoramlike note surface along note deep fruit aromatic wood distinct sweet floral,0.8591,1,0.942521,1
Ethiopia Yirgacheffe Natural,Dragonfly Coffee Roasters,Medium_Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,5.29,94,2018-09-01,"Sweet, deeply and complexly fruit-toned. Very ripe strawberry, pineapple guava, dark chocolate, distinct lavender-like flowers, aromatic cedar in aroma and cup. Roundly sweet in structure, with a gentle and pleasing bitter edge. Full, plush mouthfeel. Lavender and chocolate dominate in a faintly and pleasantly spirits-tinged finish.",sweet deeply complexly fruittoned ripe strawberry pineapple guava dark chocolate distinct lavenderlike flower aromatic cedar aroma cup roundly sweet structure gentle pleasing bitter edge full plush mouthfeel lavender chocolate dominate faintly pleasantly spiritstinged finish,0.9022,1,0.9425415,1
Guatemala Finca El General Lot ALT8 Espresso,Kakalove Cafe,Medium_Light,Taiwan,Acatenango Growing Region,Central Guatemala,3.89,94,2018-09-01,"Evaluated as espresso. Chocolaty, floral-toned. Plumeria, baker’s chocolate, tangerine zest, fresh-cut cedar, tamarind in aroma and small cup. Crisp, syrupy mouthfeel; sweetly tart finish with notes of tamarind and baker’s chocolate. In three parts milk, rich chocolate tones provide ballast for tart tamarind, and plumeria notes elevate the whole with pervasive sweetness.",evaluated espresso chocolaty floraltoned plumeria baker ’ chocolate tangerine zest freshcut cedar tamarind aroma small cup crisp syrupy mouthfeel sweetly tart finish note tamarind baker ’ chocolate three part milk rich chocolate tone provide ballast tart tamarind plumeria note elevate whole pervasive sweetness,0.872,1,0.9425357,1
Green Dolphin Blend Espresso,Kakalove Cafe,Medium_Light,Taiwan,Ethiopia,Kenya,3.4,94,2018-09-01,"Evaluated as espresso. High-toned, richly sweet. Narcissus, dark chocolate, dried apricot, roasted hazelnut, pink grapefruit zest in aroma and small cup. Crisp, lively mouthfeel; resonant finish that consolidates to pink grapefruit zest and narcissus. In cappuccino-scaled milk, dark chocolate blooms in harmony with deep florals and hints of dried stone fruit.",evaluated espresso hightoned richly sweet narcissus dark chocolate dried apricot roasted hazelnut pink grapefruit zest aroma small cup crisp lively mouthfeel resonant finish consolidates pink grapefruit zest narcissus cappuccinoscaled milk dark chocolate bloom harmony deep florals hint dried stone fruit,0.8885,1,0.94252706,1
